,amount_3month,max_amount_3month,min_amount_3month,distinct_payment_code_3month,count_payment_code_3month,distinct_trans_group_3month,distinct_ref_no_3month,id,churn,age,sex_FEMALE,sex_MALE,marital_status_Married,marital_status_Other,marital_status_Single
16414,2.63e-07,4e-06,1.18e-05,0,0,1,1,1628134339,0,41.0,0,1,1,0,0
16415,2.4e-05,0.0001318,5.92e-07,1,10,3,29,1395078737,0,22.0,1,0,0,0,1
16418,2.35e-05,8.6e-05,1.95e-06,1,1,4,30,485443055,0,26.0,1,0,0,0,1
16419,3.94e-08,6e-07,1.77e-06,1,1,2,3,758338310,1,19.0,1,0,0,0,1
16420,7.95e-05,0.0003,5.92e-07,0,0,1,9,800788938,0,48.0,1,0,0,0,1
16423,5.96e-05,0.0001012,1.34e-05,0,0,2,23,542372239,0,36.0,0,1,1,0,0
16424,0.0,0.0,0.0,0,0,1,1,446488253,1,34.0,1,0,0,0,1
16427,0.0,0.0,0.0,0,0,1,1,554108135,1,20.0,1,0,0,0,1
16428,3.33e-05,0.00024,1.77e-06,1,6,3,17,1546304201,0,37.0,0,1,1,0,0
16429,4.24e-05,0.00022,1.18e-06,1,2,3,18,844780506,0,29.0,0,1,0,0,1
16430,3.89e-06,1e-05,2.25e-06,1,1,3,14,285821779,1,47.0,0,1,0,0,1
16431,2.47e-06,1e-05,1.18e-06,1,4,3,15,1146621,0,23.0,0,1,0,0,1
16432,1.85e-05,0.00012,1.18e-06,1,3,3,16,1453140551,0,23.0,0,1,0,0,1
16433,2.1e-05,0.00018,2.96e-06,1,3,3,9,1530152156,0,36.0,0,1,1,0,0
16434,0.0,0.0,0.0,0,0,1,1,94140827,1,20.0,0,1,0,0,1
16436,4.1e-05,0.0001812,5.92e-07,2,12,2,24,1162120086,0,32.0,1,0,0,0,1
16437,3.68e-07,5e-06,5.92e-07,1,2,2,3,1589083771,0,19.0,1,0,0,0,1
16438,0.0,0.0,0.0,0,0,1,1,525408715,1,19.0,0,1,0,0,1
16439,1.33e-05,8e-05,2.96e-06,2,10,2,15,1590256951,1,46.0,0,1,1,0,0
16440,2.06e-05,8e-05,5.92e-07,1,8,2,18,679562434,0,47.0,0,1,0,0,1
16441,0.0,0.0,0.0,0,0,1,1,370684415,1,23.0,1,0,0,0,1
16442,0.0,0.0,0.0,0,0,1,1,768590550,1,26.0,0,1,0,0,1
16444,1.12e-06,1.2e-05,2.96e-06,1,1,2,3,1932028677,1,34.0,0,1,1,0,0
16448,0.000132679,0.00038,1.18e-05,0,0,3,25,1264320593,0,36.0,1,0,1,0,0
16449,3.94e-08,6e-07,1.77e-06,1,1,1,1,1296568135,1,21.0,0,1,0,0,1
16450,0.0,0.0,0.0,0,0,1,1,1163028149,1,29.0,1,0,0,0,1
16451,2.11e-05,0.000129,5.92e-07,1,4,3,18,870284670,0,33.0,0,1,1,0,0
16455,4.6e-07,6e-06,2.96e-06,0,0,2,4,640776500,1,20.0,0,1,0,0,1
16456,0.0,0.0,0.0,0,0,1,1,1385812479,1,22.0,0,1,0,0,1
16457,2.89e-06,4e-05,1.18e-05,0,0,2,3,1154207042,0,29.0,1,0,0,0,1
16458,9.7e-05,0.0006,5.92e-07,1,1,5,21,704300770,0,36.0,0,1,1,0,0
16459,0.000219022,0.0006,1.18e-06,1,2,3,33,1928729432,0,49.0,1,0,1,0,0
16461,2.99e-05,0.0004,1.36e-05,0,0,2,8,1480834466,0,39.0,1,0,1,0,0
16463,0.000230795,0.00028,2.96e-06,0,0,2,55,1253595878,0,28.0,0,1,1,0,0
16465,0.000152345,0.00030424,5.92e-06,1,1,2,11,1284042577,0,51.0,0,1,1,0,0
16471,7.77e-06,6e-05,9.47e-06,0,0,1,8,170018831,1,44.0,0,1,1,0,0
16472,7.93e-05,0.000698,5.1e-06,2,6,2,21,234710187,1,45.0,1,0,1,0,0
16473,0.0,0.0,0.0,0,0,1,1,1919388464,1,21.0,0,1,0,0,1
16474,0.0,0.0,0.0,0,0,1,1,1093777058,1,35.0,0,1,0,0,1
16475,4.94e-05,0.0002,2.96e-06,2,8,4,22,620753069,0,38.0,0,1,1,0,0
16476,0.0,0.0,0.0,0,0,1,2,1943016920,1,36.0,0,1,1,0,0
16478,0.00018595,0.00044,1.18e-06,1,12,3,41,898790077,0,47.0,1,0,1,0,0
16480,8.93e-06,3.4e-05,5.92e-06,0,0,2,8,1822513094,1,34.0,0,1,0,0,1
16481,2.14e-05,4e-05,1.18e-06,1,5,4,31,678898236,1,19.0,0,1,0,0,1
16485,8.52e-05,0.000431,1.18e-06,1,2,3,39,69113321,0,44.0,1,0,1,0,0
16486,1.97e-07,2e-06,2.96e-06,0,0,1,2,769424109,0,25.0,0,1,0,0,1
16487,1.89e-05,6.13e-05,1.89e-06,0,0,2,18,993593383,1,27.0,0,1,0,0,1
16490,3.94e-08,6e-07,1.77e-06,1,1,2,4,1507282802,1,36.0,1,0,0,0,1
16492,1.18e-06,9e-06,2.96e-06,1,1,3,4,1970199515,0,20.0,1,0,0,0,1
16494,7.85e-05,0.0001472,2.66e-06,2,7,3,34,1159040544,0,43.0,1,0,1,0,0
16496,0.0,0.0,0.0,0,0,1,2,67137624,1,25.0,0,1,0,0,1
16497,2.39e-06,2e-05,1.18e-06,1,2,2,5,1049012189,1,25.0,0,1,0,0,1
16500,0.0,0.0,0.0,0,0,1,1,1422715456,1,22.0,0,1,0,0,1
16502,0.0,0.0,0.0,0,0,1,1,1781121750,1,28.0,1,0,0,0,1
16507,2.82e-05,0.00018,1.12e-05,1,2,2,5,43319405,0,45.0,0,1,1,0,0
16508,0.0,0.0,0.0,0,0,1,1,176559826,1,31.0,0,1,1,0,0
16511,0.0,0.0,0.0,0,0,1,1,1938645716,1,30.0,0,1,0,0,1
16512,6.84e-06,2e-05,2.96e-06,0,0,2,11,375960734,0,33.0,1,0,0,0,1
16513,0.0,0.0,0.0,0,0,1,1,122713020,1,20.0,1,0,0,0,1
16514,2.24e-07,2e-06,1.18e-06,1,3,1,3,1741115808,0,35.0,0,1,1,0,0
16516,5.56e-06,2.1e-05,1.77e-06,1,1,3,15,1956410919,0,25.0,1,0,0,0,1
16517,4.6e-07,4e-06,8.87e-06,1,1,2,2,1512820972,0,30.0,0,1,0,0,1
16519,0.000153878,0.000328,5.92e-07,1,6,4,45,1983977129,0,35.0,0,1,0,0,1
16520,7.71e-05,0.0003,2.96e-06,1,4,3,31,777810341,0,29.0,0,1,1,0,0
16524,0.0,0.0,0.0,0,0,1,3,147265889,1,31.0,1,0,1,0,0
16525,0.0,0.0,0.0,0,0,1,2,1152640304,1,47.0,0,1,1,0,0
16526,2.18e-06,2.52e-05,2.96e-06,1,5,2,6,1795464124,0,41.0,0,1,1,0,0
16529,0.0,0.0,0.0,0,0,1,3,1012678985,1,36.0,0,1,0,0,1
16532,8.98e-05,0.00012,2.96e-06,1,1,3,61,1436072790,0,33.0,0,1,0,0,1
16533,0.000188172,0.00062,5.92e-06,1,1,3,20,718528968,0,44.0,0,1,1,0,0
16538,0.000136752,0.0006,5.92e-07,1,3,4,43,93062337,0,27.0,1,0,0,0,1
16539,1.29e-05,2e-05,5.92e-07,0,0,2,57,805807376,0,26.0,0,1,0,0,1
16540,4.46e-06,6.4e-05,1.12e-05,0,0,2,4,1955566739,0,27.0,0,1,0,0,1
16544,4.23e-05,0.00054,3.55e-06,0,0,2,7,1687446531,0,33.0,1,0,1,0,0
16545,0.0,0.0,0.0,0,0,1,1,1145746473,1,22.0,1,0,0,0,1
16548,1.68e-05,6e-05,1.18e-06,1,5,4,33,1110856079,0,18.0,1,0,0,0,1
16549,0.0,0.0,0.0,0,0,1,1,35200709,1,21.0,1,0,0,0,1
16551,0.0,0.0,0.0,0,0,1,2,364657711,1,19.0,0,1,0,0,1
16554,0.0,0.0,0.0,0,0,1,1,164517555,1,30.0,0,1,1,0,0
16555,2.03e-05,8e-05,5.92e-07,2,11,3,23,1967681245,0,35.0,0,1,1,0,0
16556,0.0,0.0,0.0,0,0,1,1,798189771,1,20.0,1,0,0,0,1
16558,6.2e-06,2e-05,2.96e-06,1,4,2,14,93901222,0,33.0,0,1,0,0,1
16563,0.0,0.0,0.0,0,0,1,1,133686466,1,27.0,1,0,0,0,1
16564,0.000122674,0.0004,1.18e-06,0,0,2,51,1796690419,0,26.0,0,1,0,0,1
16569,4.82e-05,0.0004,5.92e-06,2,6,3,18,1118690690,0,48.0,0,1,1,0,0
16572,3.94e-05,0.000154,2.96e-06,0,0,3,25,1917478481,0,33.0,1,0,0,0,1
16573,1.31e-06,4e-06,2.96e-06,1,10,1,10,1601440868,1,29.0,1,0,0,0,1
16574,3.46e-05,0.0001,2.96e-06,1,2,4,40,256727860,0,24.0,0,1,0,0,1
16575,3.42e-05,0.00014096,6.09e-07,2,11,3,24,1746269463,0,46.0,0,1,1,0,0
16576,2.89e-07,4.4e-06,1.3e-05,0,0,1,1,825768133,1,29.0,0,1,0,0,1
16579,0.0,0.0,0.0,0,0,1,7,787827666,1,44.0,0,1,1,0,0
16581,9.18e-06,6.5e-05,1.77e-06,1,2,4,14,1753331344,0,19.0,1,0,0,0,1
16583,0.0,0.0,0.0,0,0,1,2,1581199662,1,32.0,1,0,1,0,0
16589,0.0,0.0,0.0,0,0,1,1,472269371,1,44.0,1,0,0,0,1
16592,6.26e-05,0.00027394,5.92e-06,1,4,3,42,1739074020,0,41.0,1,0,1,0,0
16593,0.0,0.0,0.0,0,0,1,1,1153304917,1,22.0,1,0,0,0,1
16595,0.0,0.0,0.0,0,0,1,1,835108301,1,21.0,0,1,0,0,1
16596,5.05e-05,8e-05,5.46e-06,2,4,3,38,17056420,0,37.0,0,1,1,0,0
16600,4.39e-05,0.0002,1.18e-06,1,5,2,12,1179409128,0,44.0,0,1,1,0,0
16601,0.0,0.0,0.0,0,0,1,1,1208285178,1,33.0,1,0,0,0,1
16603,4.29e-05,0.0001,5.92e-07,1,5,3,27,1911882068,0,27.0,1,0,0,0,1
16604,3.29e-06,4.8e-05,2.96e-06,0,0,2,3,1448378369,1,20.0,0,1,1,0,0
16605,0.0,0.0,0.0,0,0,1,1,245970955,1,30.0,1,0,0,0,1
16606,3.49e-05,7.2e-05,5.92e-07,1,1,3,44,1143234225,0,26.0,0,1,0,0,1
16607,0.000122343,0.000204056,8.87e-06,0,0,4,29,45983112,0,41.0,0,1,1,0,0
16608,2.52e-06,1.84e-05,5.92e-06,0,0,2,4,1188207529,0,39.0,0,1,1,0,0
16609,1.9e-06,2e-05,6.09e-07,2,3,3,8,1695605134,0,24.0,0,1,0,0,1
16611,1.15e-05,0.000121,2.96e-06,1,5,3,11,1702195937,1,31.0,1,0,0,0,1
16613,7.89e-07,1e-05,5.92e-06,0,0,2,10,1561441346,0,28.0,1,0,1,0,0
16614,0.0,0.0,0.0,0,0,1,1,1649508201,1,20.0,0,1,0,0,1
16615,0.0,0.0,0.0,0,0,1,1,1626334393,1,18.0,0,1,0,0,1
16624,2.29e-05,6e-05,5.92e-06,0,0,2,19,1331834840,0,28.0,0,1,0,0,1
16629,0.0,0.0,0.0,0,0,1,2,1687617539,1,21.0,0,1,0,0,1
16631,8.81e-06,4.4e-05,1.77e-06,1,1,3,6,40553019,1,30.0,1,0,1,0,0
16632,6.69e-05,0.00032,2.96e-06,1,5,3,26,966345120,0,28.0,0,1,0,0,1
16633,1.31e-07,1e-06,2.96e-06,1,2,1,2,40447303,0,51.0,0,1,0,0,1
16634,0.000184776,0.00048534,1.18e-06,1,1,3,32,1321885953,0,29.0,0,1,0,0,1
16635,0.0,0.0,0.0,0,0,1,1,1831162608,1,30.0,0,1,0,0,1
16636,3.77e-05,0.0001,5.92e-07,1,12,2,39,1414617400,0,18.0,1,0,0,0,1
16638,1.58e-07,1e-06,1.18e-06,1,1,2,6,827577611,1,20.0,1,0,0,0,1
16639,9.2e-08,1e-06,1.18e-06,1,2,1,2,1903293068,0,20.0,0,1,0,0,1
16640,5.39e-05,0.0002,5.92e-06,1,3,4,17,1121965371,0,39.0,0,1,0,0,1
16641,2.63e-05,0.0001,2.96e-06,1,3,3,20,399915599,0,23.0,0,1,0,0,1
16642,4.24e-06,3.78e-05,1.06e-05,1,3,3,5,231318927,0,43.0,1,0,0,0,1
16643,9.17e-06,4e-05,5.92e-07,1,11,2,22,1458737049,0,22.0,1,0,1,0,0
16644,1.73e-05,6.66e-05,2.96e-06,1,6,3,19,674380606,0,25.0,0,1,0,0,1
16645,9.59e-05,0.000212,2.37e-06,1,6,2,35,1910202591,0,23.0,1,0,0,0,1
16646,0.0,0.0,0.0,0,0,1,2,813552892,1,24.0,1,0,0,0,1
16651,4.99e-05,0.0001,1.18e-06,1,5,2,34,1302943450,0,33.0,0,1,0,0,1
16654,3.29e-07,4e-06,2.96e-06,1,1,2,2,292660887,1,21.0,1,0,0,0,1
16655,4.36e-05,0.0006,5.92e-07,1,7,3,11,1014588495,0,29.0,1,0,1,0,0
16657,0.0,0.0,0.0,0,0,1,1,156950759,1,22.0,0,1,0,0,1
16660,0.0,0.0,0.0,0,0,1,1,1072858614,1,21.0,0,1,0,0,1
16662,0.0,0.0,0.0,0,0,1,1,1639702,1,24.0,0,1,0,0,1
16664,8.85e-06,6e-05,1.77e-06,2,6,2,8,425715516,0,30.0,1,0,0,0,1
16665,0.0,0.0,0.0,0,0,1,1,79568396,1,35.0,0,1,0,0,1
16666,4.52e-05,0.00014,2.96e-06,2,8,3,20,335945820,0,42.0,0,1,1,0,0
16667,0.0,0.0,0.0,0,0,1,1,602251532,1,31.0,1,0,0,0,1
16668,9.03e-06,9.8e-05,5.92e-07,1,1,3,7,1004803850,0,30.0,1,0,1,0,0
16669,1.56e-06,1.1e-05,1.18e-06,1,6,2,9,1182293565,1,28.0,1,0,0,0,1
16670,7.02e-05,0.00056,5.92e-07,1,4,3,25,1554993057,0,36.0,1,0,1,0,0
16672,1.84e-06,2.4e-05,1.18e-05,0,0,1,2,811477090,0,26.0,0,1,0,0,1
16674,0.0,0.0,0.0,0,0,1,2,1982216777,1,22.0,1,0,0,0,1
16675,2.56e-05,0.0001,5.92e-07,1,1,3,10,838926935,0,32.0,0,1,1,0,0
16676,2.5e-07,3e-06,5.92e-07,0,0,2,5,816510451,1,18.0,1,0,0,0,1
16677,3.94e-08,6e-07,1.77e-06,1,1,2,2,271686489,1,18.0,0,1,0,0,1
16679,1.54e-05,0.0001,5.92e-07,1,2,3,13,353375447,0,19.0,0,1,0,0,1
16680,2.87e-06,1.2e-05,5.92e-07,1,2,3,13,941481430,0,18.0,1,0,0,0,1
16681,0.0,0.0,0.0,0,0,1,1,1874155010,1,20.0,0,1,0,0,1
16682,0.0,0.0,0.0,0,0,1,1,534173815,1,35.0,1,0,0,0,1
16683,0.0,0.0,0.0,0,0,1,2,42726123,1,30.0,0,1,0,0,1
16684,0.000318407,0.00048,5.92e-07,1,4,2,62,1333701005,0,24.0,0,1,0,0,1
16686,0.000106531,0.000403676,2.96e-06,1,4,4,12,1324599382,0,27.0,0,1,0,0,1
16687,1.11e-05,6e-05,1.77e-06,1,8,3,17,1781110418,1,24.0,0,1,0,0,1
16688,4.09e-05,0.00062,5.92e-06,0,0,1,2,359924035,1,28.0,1,0,1,0,0
16691,2.64e-05,0.0001,1.18e-05,1,1,3,14,759978255,0,29.0,1,0,1,0,0
16692,0.0,0.0,0.0,0,0,1,1,1056867138,1,50.0,1,0,1,0,0
16693,3.02e-07,2e-06,1.77e-06,1,4,1,4,57338373,1,32.0,0,1,0,0,1
16696,1.93e-06,1e-05,5.92e-06,1,1,3,7,1368467133,0,28.0,0,1,0,0,1
16697,7.7e-05,0.0004,5.92e-06,1,3,4,14,88981737,0,41.0,0,1,1,0,0
16698,0.0,0.0,0.0,0,0,1,2,30281541,1,38.0,1,0,1,0,0
16699,2.73e-05,0.0001,2.25e-06,1,1,3,14,1106060065,0,26.0,0,1,0,0,1
16702,2.63e-07,4e-06,1.18e-05,0,0,2,6,756979714,1,25.0,0,1,0,0,1
16704,0.0,0.0,0.0,0,0,1,1,790503633,1,24.0,0,1,0,0,1
16705,3.46e-06,2e-05,5.92e-07,1,9,2,11,1893021797,1,29.0,1,0,0,0,1
16707,1.55e-05,4e-05,5.92e-06,0,0,1,20,465713289,0,31.0,0,1,0,0,1
16710,0.0,0.0,0.0,0,0,1,1,1443536073,1,21.0,0,1,0,0,1
16712,2.53e-05,0.00032736,4.14e-06,0,0,2,8,696749556,1,31.0,1,0,0,0,1
16713,0.0,0.0,0.0,0,0,1,1,288960401,1,22.0,1,0,0,0,1
16717,0.0,0.0,0.0,0,0,1,1,1497745166,1,18.0,0,1,0,0,1
16718,6.46e-05,0.00034,5.92e-07,1,3,3,8,1708699849,0,28.0,1,0,0,0,1
16720,7.4e-06,5.6e-05,1.77e-06,0,0,2,4,28929776,1,26.0,1,0,1,0,0
16721,0.0,0.0,0.0,0,0,1,1,756320077,1,21.0,0,1,0,0,1
16723,2.05e-05,0.00012,5.92e-06,1,3,3,17,621293153,0,37.0,1,0,1,0,0
16726,0.0,0.0,0.0,0,0,1,1,1582887243,1,29.0,0,1,0,0,1
16727,2.59e-05,0.00011,2.96e-06,1,7,2,13,324789846,0,48.0,1,0,1,0,0
16730,1.89e-06,2.4e-05,6.39e-06,0,0,2,4,193730242,0,19.0,1,0,0,0,1
16731,2.67e-06,1.1e-05,7.1e-07,1,5,3,12,1900630733,1,18.0,1,0,0,0,1
16733,0.0,0.0,0.0,0,0,1,1,29590966,1,40.0,0,1,1,0,0
16735,0.00036296,0.00074,2.96e-06,0,0,2,32,1511796200,0,36.0,0,1,1,0,0
16737,2.96e-05,0.0002,1.22e-06,1,1,4,7,1917827645,0,39.0,0,1,1,0,0
16738,8.94e-07,4e-06,1.77e-06,1,7,1,7,1266749850,0,36.0,0,1,1,0,0
16739,0.0,0.0,0.0,0,0,1,1,1292596975,1,20.0,0,1,0,0,1
16741,6.57e-08,1e-06,2.96e-06,1,1,1,1,1204858217,1,19.0,0,1,0,0,1
16742,0.0,0.0,0.0,0,0,1,2,193549729,1,23.0,0,1,0,0,1
16745,8.04e-06,1.04e-05,5.92e-07,1,10,4,59,1494024878,0,21.0,0,1,0,0,1
16746,0.000118224,0.0004,2.37e-06,1,2,3,60,1875083538,0,35.0,0,1,1,0,0
16748,0.0,0.0,0.0,0,0,1,1,1818838424,1,19.0,0,1,0,0,1
16750,0.0,0.0,0.0,0,0,1,1,69560049,1,25.0,0,1,0,0,1
16752,0.0,0.0,0.0,0,0,1,1,1707454389,1,30.0,0,1,0,0,1
16754,0.0,0.0,0.0,0,0,1,1,1905252202,1,21.0,0,1,0,0,1
16755,1.83e-05,0.00016,2.96e-06,1,3,2,13,1516233690,0,27.0,0,1,0,0,1
16761,0.0,0.0,0.0,0,0,1,1,1015207546,1,42.0,1,0,0,0,1
16762,1.25e-05,4e-05,2.96e-06,1,3,4,17,865407446,0,28.0,0,1,0,0,1
16763,1.06e-05,0.000148,5.92e-07,1,3,3,10,161675026,1,37.0,0,1,1,0,0
16765,9.25e-05,0.0005,1.18e-05,0,0,2,16,820655046,0,36.0,1,0,0,0,1
16766,1.51e-05,4e-05,3.55e-06,0,0,3,17,1194168111,0,36.0,1,0,0,0,1
16770,3.77e-06,2e-05,5.92e-06,2,8,2,10,1686007618,0,53.0,0,1,1,0,0
16771,7.66e-05,0.000178,5.92e-07,0,0,1,49,100698633,0,28.0,0,1,1,0,0
16772,1.67e-05,4.7e-05,6.51e-06,0,0,2,16,1617092017,0,32.0,1,0,1,0,0
16773,7.89e-07,1e-05,5.92e-06,0,0,1,2,293329630,0,31.0,0,1,0,0,1
16774,2.84e-06,1.8e-05,3.55e-06,0,0,2,7,1783479217,1,27.0,0,1,1,0,0
16776,0.0,0.0,0.0,0,0,1,2,525933778,1,31.0,0,1,0,0,1
16777,1.72e-05,0.0001,2.96e-06,1,5,3,18,15411772,0,39.0,0,1,1,0,0
16779,5.24e-05,0.0002,5.92e-06,1,6,3,21,669618695,0,37.0,0,1,0,0,1
16783,6.77e-07,4e-06,8.28e-06,0,0,1,3,1418743119,1,25.0,0,1,0,0,1
16785,3.62e-06,4.4e-05,1.18e-06,1,1,3,5,749918533,1,25.0,0,1,0,0,1
16787,3.01e-05,0.00015,1.7e-06,1,1,3,12,592184209,0,40.0,0,1,0,0,1
16788,5.01e-06,1.2e-05,2.96e-06,0,0,3,19,1481077863,0,29.0,1,0,0,0,1
16789,4.84e-05,0.0001,1.77e-06,1,10,3,33,686992633,0,34.0,0,1,1,0,0
16790,0.0,0.0,0.0,0,0,1,2,163663875,1,21.0,0,1,0,0,1
16792,2.91e-06,4.4e-05,5.92e-07,1,1,3,3,21468307,0,23.0,1,0,0,0,1
16794,4.98e-06,7e-05,5.92e-07,1,5,2,7,1043262058,0,26.0,1,0,0,0,1
16795,3.25e-05,0.0002,2.96e-06,1,8,2,17,88438771,0,47.0,0,1,1,0,0
16800,0.0,0.0,0.0,0,0,1,2,1700924561,1,36.0,1,0,0,0,1
16802,4.03e-06,4.8e-05,5.92e-06,1,2,2,4,1884504997,0,31.0,0,1,0,0,1
16803,0.000102962,0.0003,2.96e-06,1,2,3,18,956845759,0,41.0,1,0,1,0,0
16804,0.0,0.0,0.0,0,0,1,2,134478538,1,32.0,1,0,0,0,1
16805,9.37e-06,1.6e-05,2.96e-06,0,0,2,34,1074940223,1,36.0,1,0,0,0,1
16806,8.63e-05,0.000338,1.77e-06,1,8,3,26,756779279,0,29.0,1,0,1,0,0
16808,1.12e-06,1.2e-05,2.96e-06,1,2,3,6,1176891931,1,28.0,1,0,1,0,0
16809,2e-05,5e-05,5.92e-07,1,10,4,53,1078166555,0,20.0,0,1,0,0,1
16812,4.49e-06,2e-05,5.92e-07,1,2,3,16,595810578,0,19.0,0,1,0,0,1
16813,4.62e-05,0.000178,5.92e-06,0,0,2,14,1966343365,1,38.0,0,1,0,0,1
16815,0.0,0.0,0.0,0,0,1,2,795549097,1,21.0,1,0,0,0,1
16820,0.0,0.0,0.0,0,0,1,2,1723117910,1,35.0,0,1,0,0,1
16822,2.59e-05,0.00012,5.92e-07,1,5,3,26,387345119,0,29.0,0,1,0,0,1
16823,0.0001327,0.00017,8.87e-07,1,1,3,48,1843298724,1,26.0,0,1,0,0,1
16824,6.18e-07,9e-06,1.18e-06,1,1,3,5,1579418341,1,33.0,0,1,0,0,1
16825,7.05e-06,5e-05,5.92e-07,1,4,4,13,831901517,0,22.0,1,0,0,0,1
16826,6.85e-06,2e-05,5.92e-06,1,8,2,17,1413426527,0,27.0,1,0,0,0,1
16829,1.55e-05,6e-05,2.96e-06,1,4,3,19,1282319879,0,32.0,0,1,0,0,1
16830,4.02e-05,0.0001,5.92e-06,0,0,2,25,474175274,0,38.0,1,0,1,0,0
16831,9.47e-06,0.000103981,5.92e-07,2,4,3,14,1213756514,0,35.0,0,1,0,0,1
16832,1.31e-07,2e-06,5.92e-06,0,0,1,1,1167919679,1,19.0,1,0,0,0,1
16835,0.0,0.0,0.0,0,0,1,1,379975093,1,19.0,0,1,0,0,1
16836,2.12e-05,0.0001,2.96e-06,1,4,2,20,406963879,0,29.0,1,0,0,0,1
16840,8.69e-05,0.00052,2.2e-06,1,1,3,21,20089835,0,25.0,0,1,0,0,1
16842,0.0,0.0,0.0,0,0,1,1,278975970,1,27.0,0,1,0,0,1
16845,3.34e-05,0.0002,1.18e-06,1,6,2,26,1552073975,0,36.0,1,0,1,0,0
16846,2.11e-05,0.00026,5.92e-07,2,2,3,8,1753643877,1,37.0,0,1,1,0,0
16848,5.21e-06,2.62e-05,5.92e-06,1,2,2,7,1647484072,1,27.0,1,0,1,0,0
16849,0.0,0.0,0.0,0,0,1,1,997051725,1,19.0,0,1,0,0,1
16851,3.27e-05,9.2e-05,5.44e-06,0,0,3,21,1014812805,0,35.0,0,1,1,0,0
16852,3.03e-05,0.0003,1.18e-06,1,4,4,16,1055930162,1,33.0,0,1,1,0,0
16853,0.000313976,0.0006,1.77e-06,1,11,3,48,560099017,0,43.0,0,1,1,0,0
16854,6.72e-06,3.96e-05,2.96e-06,0,0,1,7,791668490,1,29.0,1,0,0,0,1
16855,0.000123081,0.0002,2.96e-06,1,2,3,41,1772323242,0,32.0,0,1,0,0,1
16858,3.94e-08,6e-07,1.77e-06,1,1,2,3,773522572,1,21.0,0,1,0,0,1
16860,8.95e-06,5e-05,2.96e-06,1,2,3,19,1580475597,0,25.0,0,1,0,0,1
16861,0.0,0.0,0.0,0,0,1,1,1535475089,1,32.0,0,1,0,0,1
16863,6.04e-05,0.0002,5.92e-06,1,7,2,31,843357007,0,28.0,0,1,0,0,1
16864,0.0,0.0,0.0,0,0,1,1,1966079570,1,20.0,0,1,0,0,1
16867,9.67e-07,1.02e-05,1.33e-05,0,0,1,2,1816644236,1,43.0,0,1,1,0,0
16868,4.62e-06,5e-05,5.92e-07,1,4,3,9,259754767,0,25.0,1,0,0,0,1
16869,5.83e-05,0.00014,5.92e-07,0,0,3,61,487964901,0,24.0,0,1,0,0,1
16872,0.0,0.0,0.0,0,0,1,2,688938761,1,34.0,0,1,0,0,1
16873,1.82e-05,0.0002,1.18e-05,0,0,2,11,423814899,0,33.0,1,0,0,0,1
16875,9.09e-05,0.0002,2.96e-06,1,8,3,32,984949677,0,33.0,0,1,1,0,0
16877,6.98e-05,0.00032,1.18e-06,1,7,4,29,609883538,0,37.0,0,1,0,0,1
16878,0.0,0.0,0.0,0,0,1,1,1518583762,1,32.0,1,0,0,0,1
16883,2.92e-05,0.0002871,5.32e-06,0,0,2,11,730549171,0,38.0,1,0,1,0,0
16884,5.44e-05,0.00026,5.92e-06,1,3,2,16,532691380,0,50.0,0,1,1,0,0
16885,0.0,0.0,0.0,0,0,1,1,1395420773,1,29.0,1,0,0,0,1
16887,1.94e-05,0.0001,5.92e-07,1,5,3,20,1608323246,0,27.0,0,1,0,0,1
16888,2.45e-05,6.9e-05,1.18e-05,0,0,1,10,232227197,0,48.0,1,0,1,0,0
16890,0.000150114,0.00022298,5.6e-06,1,1,2,47,1228268472,0,25.0,1,0,0,0,1
16892,3.04e-05,0.000128,2.96e-06,1,1,2,18,722864327,0,36.0,0,1,1,0,0
16894,0.0,0.0,0.0,0,0,1,1,844412835,1,26.0,1,0,0,0,1
16895,0.0,0.0,0.0,0,0,1,1,1309809469,1,55.0,0,1,1,0,0
16896,7.14e-05,0.00012,5.92e-06,0,0,4,35,506742765,0,30.0,0,1,1,0,0
16897,3.94e-08,6e-07,1.77e-06,1,1,2,3,1575215583,1,20.0,0,1,0,0,1
16899,0.0,0.0,0.0,0,0,1,3,1282185939,1,53.0,1,0,1,0,0
16901,0.000168867,0.00064,2.96e-06,2,9,3,43,1258031434,0,28.0,1,0,0,0,1
16903,0.0,0.0,0.0,0,0,1,2,604710721,1,44.0,0,1,0,0,1
16904,0.0,0.0,0.0,0,0,1,1,728762083,1,18.0,0,1,0,0,1
16910,0.0,0.0,0.0,0,0,1,6,36712864,1,20.0,1,0,0,0,1
16912,9.43e-06,0.0001,1.18e-06,1,3,4,9,1753893794,1,38.0,0,1,1,0,0
16914,7.09e-05,0.0002,5.92e-06,0,0,1,15,1882749058,0,34.0,0,1,1,0,0
16917,1.31e-07,2e-06,5.92e-06,0,0,1,1,1128517541,1,20.0,0,1,0,0,1
16919,2.37e-06,1.6e-05,2.96e-06,0,0,1,4,245826307,1,36.0,0,1,0,0,1
16921,0.000223845,0.0006,3.94e-06,2,3,3,45,18326348,0,37.0,0,1,0,0,1
16922,0.0,0.0,0.0,0,0,1,2,781238844,1,27.0,1,0,0,0,1
16923,0.0,0.0,0.0,0,0,1,2,405498067,1,22.0,0,1,0,0,1
16925,3.59e-06,3.4e-05,1.77e-06,1,7,2,9,1196477921,1,25.0,1,0,1,0,0
